Country,ds,y_tst,yhat,level_1,adjustment_Forecasts_test,final_prediction
Moldova,1955-01-01,,,,,
Montserrat,1955-01-01,,,,,
New Caledonia,1955-01-01,,,,,
Niue,1955-01-01,,,,,
North Korea,1955-01-01,,,,,
North Macedonia,1955-01-01,,,,,
Palestine,1955-01-01,,,,,
Panama,1955-01-01,,,,,
Paraguay,1955-01-01,,,,,
Peru,1955-01-01,,,,,
Philippines,1955-01-01,,,,,
Qatar,1955-01-01,,,,,
Reunion,1955-01-01,,,,,
Russia,1955-01-01,,,,,
Saint Kitts and Nevis,1955-01-01,,,,,
Saint Lucia,1955-01-01,,,,,
Saint Vincent and the Grenadines,1955-01-01,,,,,
Samoa,1955-01-01,,,,,
Saudi Arabia,1955-01-01,,,,,
Seychelles,1955-01-01,,,,,
South Korea,1955-01-01,,,,,
Sri Lanka,1955-01-01,,,,,
Suriname,1955-01-01,,,,,
Syria,1955-01-01,,,,,
Thailand,1955-01-01,,,,,
Tokelau,1955-01-01,,,,,
Tonga,1955-01-01,,,,,
Trinidad and Tobago,1955-01-01,,,,,
Tunisia,1955-01-01,,,,,
Turkey,1955-01-01,,,,,
Turkmenistan,1955-01-01,,,,,
Turks and Caicos Islands,1955-01-01,,,,,
United Arab Emirates,1955-01-01,,,,,
Uzbekistan,1955-01-01,,,,,
Vanuatu,1955-01-01,,,,,
Venezuela,1955-01-01,,,,,
Vietnam,1955-01-01,,,,,
Wallis and Futuna,1955-01-01,,,,,
Albania,1956-01-01,,,,,
Anguilla,1956-01-01,,,,,
Armenia,1956-01-01,,,,,
Azerbaijan,1956-01-01,,,,,
Bahamas,1956-01-01,,,,,
Bahrain,1956-01-01,,,,,
Belize,1956-01-01,,,,,
Bosnia and Herzegovina,1956-01-01,,,,,
Brazil,1956-01-01,,,,,
British Virgin Islands,1956-01-01,,,,,
Brunei,1956-01-01,,,,,
Cape Verde,1956-01-01,,,,,
Cayman Islands,1956-01-01,,,,,
Chile,1956-01-01,,,,,
China,1956-01-01,,,,,
Colombia,1956-01-01,,,,,
Cook Islands,1956-01-01,,,,,
Dominica,1956-01-01,,,,,
Dominican Republic,1956-01-01,,,,,
Ecuador,1956-01-01,,,,,
Falkland Islands,1956-01-01,,,,,
Fiji,1956-01-01,,,,,
French Guiana,1956-01-01,,,,,
French Polynesia,1956-01-01,,,,,
Georgia,1956-01-01,,,,,
Greenland,1956-01-01,,,,,
Grenada,1956-01-01,,,,,
Guadeloupe,1956-01-01,,,,,
Guam,1956-01-01,,,,,
Guyana,1956-01-01,,,,,
Jamaica,1956-01-01,,,,,
Jordan,1956-01-01,,,,,
Kazakhstan,1956-01-01,,,,,
Kosovo,1956-01-01,,,,,
Kuwait,1956-01-01,,,,,
Kyrgyzstan,1956-01-01,,,,,
Lebanon,1956-01-01,,,,,
Malaysia,1956-01-01,,,,,
Mauritius,1956-01-01,,,,,
Mayotte,1956-01-01,,,,,
Mexico,1956-01-01,,,,,
Micronesia (country),1956-01-01,,,,,
Moldova,1956-01-01,,,,,
Montserrat,1956-01-01,,,,,
New Caledonia,1956-01-01,,,,,
Niue,1956-01-01,,,,,
North Korea,1956-01-01,,,,,
North Macedonia,1956-01-01,,,,,
Palestine,1956-01-01,,,,,
Panama,1956-01-01,,,,,
Paraguay,1956-01-01,,,,,
Peru,1956-01-01,,,,,
Philippines,1956-01-01,,,,,
Qatar,1956-01-01,,,,,
Reunion,1956-01-01,,,,,
Russia,1956-01-01,,,,,
Saint Kitts and Nevis,1956-01-01,,,,,
Saint Lucia,1956-01-01,,,,,
Saint Vincent and the Grenadines,1956-01-01,,,,,
Samoa,1956-01-01,,,,,
Saudi Arabia,1956-01-01,,,,,
Seychelles,1956-01-01,,,,,
South Korea,1956-01-01,,,,,
Sri Lanka,1956-01-01,,,,,
Suriname,1956-01-01,,,,,
Syria,1956-01-01,,,,,
Thailand,1956-01-01,,,,,
Tokelau,1956-01-01,,,,,
Tonga,1956-01-01,,,,,
