Country,ds,y_tst,yhat,level_1,adjustment_Forecasts_test,final_prediction
Finland,1958-01-01,,,,,
France,1958-01-01,,,,,
Germany,1958-01-01,,,,,
Gibraltar,1958-01-01,,,,,
Greece,1958-01-01,,,,,
Guernsey,1958-01-01,,,,,
Hong Kong,1958-01-01,,,,,
Hungary,1958-01-01,,,,,
Iceland,1958-01-01,,,,,
Ireland,1958-01-01,,,,,
Isle of Man,1958-01-01,,,,,
Israel,1958-01-01,,,,,
Italy,1958-01-01,,,,,
Japan,1958-01-01,,,,,
Jersey,1958-01-01,,,,,
Latvia,1958-01-01,,,,,
Liechtenstein,1958-01-01,,,,,
Lithuania,1958-01-01,,,,,
Luxembourg,1958-01-01,,,,,
Macao,1958-01-01,,,,,
Malta,1958-01-01,,,,,
Martinique,1958-01-01,,,,,
Monaco,1958-01-01,,,,,
Montenegro,1958-01-01,,,,,
Netherlands,1958-01-01,,,,,
New Zealand,1958-01-01,,,,,
Northern Mariana Islands,1958-01-01,,,,,
Norway,1958-01-01,,,,,
Poland,1958-01-01,,,,,
Portugal,1958-01-01,,,,,
Puerto Rico,1958-01-01,,,,,
Romania,1958-01-01,,,,,
Saint Barthlemy,1958-01-01,,,,,
Saint Helena,1958-01-01,,,,,
Saint Martin (French part),1958-01-01,,,,,
Saint Pierre and Miquelon,1958-01-01,,,,,
San Marino,1958-01-01,,,,,
Serbia,1958-01-01,,,,,
Singapore,1958-01-01,,,,,
Sint Maarten (Dutch part),1958-01-01,,,,,
Slovakia,1958-01-01,,,,,
Slovenia,1958-01-01,,,,,
Spain,1958-01-01,,,,,
Sweden,1958-01-01,,,,,
Switzerland,1958-01-01,,,,,
Taiwan,1958-01-01,,,,,
Ukraine,1958-01-01,,,,,
United Kingdom,1958-01-01,,,,,
United States,1958-01-01,,,,,
United States Virgin Islands,1958-01-01,,,,,
Uruguay,1958-01-01,,,,,
Vatican,1958-01-01,,,,,
American Samoa,1959-01-01,,,,,
Andorra,1959-01-01,,,,,
Antigua and Barbuda,1959-01-01,,,,,
Argentina,1959-01-01,,,,,
Aruba,1959-01-01,,,,,
Australia,1959-01-01,,,,,
Austria,1959-01-01,,,,,
Barbados,1959-01-01,,,,,
Belarus,1959-01-01,,,,,
Belgium,1959-01-01,,,,,
Bermuda,1959-01-01,,,,,
Bonaire Sint Eustatius and Saba,1959-01-01,,,,,
Bulgaria,1959-01-01,,,,,
Canada,1959-01-01,,,,,
Costa Rica,1959-01-01,,,,,
Croatia,1959-01-01,,,,,
Cuba,1959-01-01,,,,,
Curacao,1959-01-01,,,,,
Cyprus,1959-01-01,,,,,
Czechia,1959-01-01,,,,,
Denmark,1959-01-01,,,,,
Estonia,1959-01-01,,,,,
Faeroe Islands,1959-01-01,,,,,
Finland,1959-01-01,,,,,
France,1959-01-01,,,,,
Germany,1959-01-01,,,,,
Gibraltar,1959-01-01,,,,,
Greece,1959-01-01,,,,,
Guernsey,1959-01-01,,,,,
Hong Kong,1959-01-01,,,,,
Hungary,1959-01-01,,,,,
Iceland,1959-01-01,,,,,
Ireland,1959-01-01,,,,,
Isle of Man,1959-01-01,,,,,
Israel,1959-01-01,,,,,
Italy,1959-01-01,,,,,
Japan,1959-01-01,,,,,
Jersey,1959-01-01,,,,,
Latvia,1959-01-01,,,,,
Liechtenstein,1959-01-01,,,,,
Lithuania,1959-01-01,,,,,
Luxembourg,1959-01-01,,,,,
Macao,1959-01-01,,,,,
Malta,1959-01-01,,,,,
Martinique,1959-01-01,,,,,
Monaco,1959-01-01,,,,,
Montenegro,1959-01-01,,,,,
Netherlands,1959-01-01,,,,,
New Zealand,1959-01-01,,,,,
Northern Mariana Islands,1959-01-01,,,,,
Norway,1959-01-01,,,,,
Poland,1959-01-01,,,,,
Portugal,1959-01-01,,,,,
Puerto Rico,1959-01-01,,,,,
Romania,1959-01-01,,,,,
Saint Barthlemy,1959-01-01,,,,,
Saint Helena,1959-01-01,,,,,
Saint Martin (French part),1959-01-01,,,,,
Saint Pierre and Miquelon,1959-01-01,,,,,
San Marino,1959-01-01,,,,,
Serbia,1959-01-01,,,,,
Singapore,1959-01-01,,,,,
Sint Maarten (Dutch part),1959-01-01,,,,,
Slovakia,1959-01-01,,,,,
Slovenia,1959-01-01,,,,,
Spain,1959-01-01,,,,,
Sweden,1959-01-01,,,,,
Switzerland,1959-01-01,,,,,
Taiwan,1959-01-01,,,,,
Ukraine,1959-01-01,,,,,
United Kingdom,1959-01-01,,,,,
United States,1959-01-01,,,,,
United States Virgin Islands,1959-01-01,,,,,
Uruguay,1959-01-01,,,,,
Vatican,1959-01-01,,,,,
American Samoa,1960-01-01,,,,,
Andorra,1960-01-01,,,,,
Antigua and Barbuda,1960-01-01,,,,,
Argentina,1960-01-01,,,,,
Aruba,1960-01-01,,,,,
Australia,1960-01-01,,,,,
