Country,ds,y_tr,y_repr_tr,adjusted_val,y_tst,yhat,level_1,adjustment_Forecasts_test,final_prediction
Marshall Islands,1955-01-01,52.8,43.0,9.799999999999997,,,,,
Mauritania,1955-01-01,41.4,43.0,-1.6000000000000014,,,,,
Mongolia,1955-01-01,40.8,43.0,-2.200000000000003,,,,,
Morocco,1955-01-01,40.8,43.0,-2.200000000000003,,,,,
Myanmar,1955-01-01,40.5,43.0,-2.5,,,,,
Namibia,1955-01-01,44.3,43.0,1.2999999999999972,,,,,
Nauru,1955-01-01,57.8,43.0,14.799999999999997,,,,,
Nicaragua,1955-01-01,43.6,43.0,0.6000000000000014,,,,,
Oman,1955-01-01,31.9,43.0,-11.100000000000001,,,,,
Pakistan,1955-01-01,40.5,43.0,-2.5,,,,,
Palau,1955-01-01,53.5,43.0,10.5,,,,,
Papua New Guinea,1955-01-01,42.5,43.0,-0.5,,,,,
Sao Tome and Principe,1955-01-01,40.2,43.0,-2.799999999999997,,,,,
Solomon Islands,1955-01-01,43.6,43.0,0.6000000000000014,,,,,
South Africa,1955-01-01,48.3,43.0,5.299999999999997,,,,,
Tajikistan,1955-01-01,52.2,43.0,9.200000000000003,,,,,
Tuvalu,1955-01-01,41.2,43.0,-1.7999999999999972,,,,,
Zimbabwe,1955-01-01,51.3,43.0,8.299999999999997,,,,,
Algeria,1956-01-01,40.3,43.8,-3.5,,,,,
Bangladesh,1956-01-01,42.4,43.8,-1.3999999999999986,,,,,
Bolivia,1956-01-01,42.0,43.8,-1.7999999999999972,,,,,
Botswana,1956-01-01,48.2,43.8,4.400000000000006,,,,,
Congo,1956-01-01,44.6,43.8,0.8000000000000043,,,,,
Egypt,1956-01-01,42.3,43.8,-1.5,,,,,
El Salvador,1956-01-01,45.8,43.8,2.0,,,,,
Gabon,1956-01-01,43.9,43.8,0.10000000000000142,,,,,
Ghana,1956-01-01,45.9,43.8,2.1000000000000014,,,,,
Guatemala,1956-01-01,42.3,43.8,-1.5,,,,,
Honduras,1956-01-01,45.3,43.8,1.5,,,,,
India,1956-01-01,43.8,43.8,0.0,,,,,
Indonesia,1956-01-01,43.8,43.8,0.0,,,,,
Iran,1956-01-01,41.6,43.8,-2.1999999999999957,,,,,
Iraq,1956-01-01,47.9,43.8,4.100000000000001,,,,,
Kenya,1956-01-01,44.1,43.8,0.30000000000000426,,,,,
Kiribati,1956-01-01,46.4,43.8,2.6000000000000014,,,,,
Libya,1956-01-01,35.1,43.8,-8.699999999999996,,,,,
Maldives,1956-01-01,37.1,43.8,-6.699999999999996,,,,,
Marshall Islands,1956-01-01,52.9,43.8,9.100000000000001,,,,,
Mauritania,1956-01-01,41.9,43.8,-1.8999999999999986,,,,,
Mongolia,1956-01-01,41.3,43.8,-2.5,,,,,
Morocco,1956-01-01,41.3,43.8,-2.5,,,,,
Myanmar,1956-01-01,41.4,43.8,-2.3999999999999986,,,,,
Namibia,1956-01-01,44.9,43.8,1.1000000000000014,,,,,
Nauru,1956-01-01,57.9,43.8,14.100000000000001,,,,,
Nicaragua,1956-01-01,44.2,43.8,0.4000000000000057,,,,,
Oman,1956-01-01,32.4,43.8,-11.399999999999999,,,,,
Pakistan,1956-01-01,41.4,43.8,-2.3999999999999986,,,,,
Palau,1956-01-01,53.6,43.8,9.800000000000004,,,,,
Papua New Guinea,1956-01-01,43.1,43.8,-0.6999999999999957,,,,,
Sao Tome and Principe,1956-01-01,38.1,43.8,-5.699999999999996,,,,,
Solomon Islands,1956-01-01,41.9,43.8,-1.8999999999999986,,,,,
South Africa,1956-01-01,49.3,43.8,5.5,,,,,
Tajikistan,1956-01-01,52.4,43.8,8.600000000000001,,,,,
Tuvalu,1956-01-01,42.2,43.8,-1.5999999999999943,,,,,
Zimbabwe,1956-01-01,51.7,43.8,7.900000000000006,,,,,
Algeria,1957-01-01,40.4,44.5,-4.100000000000001,,,,,
Bangladesh,1957-01-01,43.4,44.5,-1.1000000000000014,,,,,
Bolivia,1957-01-01,42.3,44.5,-2.200000000000003,,,,,
Botswana,1957-01-01,48.7,44.5,4.200000000000003,,,,,
Congo,1957-01-01,45.4,44.5,0.8999999999999986,,,,,
Egypt,1957-01-01,43.1,44.5,-1.3999999999999986,,,,,
El Salvador,1957-01-01,46.3,44.5,1.7999999999999972,,,,,
Gabon,1957-01-01,44.6,44.5,0.10000000000000142,,,,,
Ghana,1957-01-01,46.3,44.5,1.7999999999999972,,,,,
Guatemala,1957-01-01,43.1,44.5,-1.3999999999999986,,,,,
Honduras,1957-01-01,46.0,44.5,1.5,,,,,
India,1957-01-01,44.1,44.5,-0.3999999999999986,,,,,
Indonesia,1957-01-01,44.5,44.5,0.0,,,,,
Iran,1957-01-01,42.0,44.5,-2.5,,,,,
Iraq,1957-01-01,49.2,44.5,4.700000000000003,,,,,
Kenya,1957-01-01,45.8,44.5,1.2999999999999972,,,,,
Kiribati,1957-01-01,46.7,44.5,2.200000000000003,,,,,
Libya,1957-01-01,36.1,44.5,-8.399999999999999,,,,,
Maldives,1957-01-01,37.4,44.5,-7.100000000000001,,,,,
Marshall Islands,1957-01-01,52.9,44.5,8.399999999999999,,,,,
Mauritania,1957-01-01,42.5,44.5,-2.0,,,,,
Mongolia,1957-01-01,40.5,44.5,-4.0,,,,,
Morocco,1957-01-01,41.8,44.5,-2.700000000000003,,,,,
Myanmar,1957-01-01,42.0,44.5,-2.5,,,,,
Namibia,1957-01-01,45.6,44.5,1.1000000000000014,,,,,
Nauru,1957-01-01,58.2,44.5,13.700000000000003,,,,,
Nicaragua,1957-01-01,44.8,44.5,0.29999999999999716,,,,,
Oman,1957-01-01,32.9,44.5,-11.600000000000001,,,,,
Pakistan,1957-01-01,42.3,44.5,-2.200000000000003,,,,,
Palau,1957-01-01,53.6,44.5,9.100000000000001,,,,,
Papua New Guinea,1957-01-01,43.8,44.5,-0.7000000000000028,,,,,
Sao Tome and Principe,1957-01-01,38.9,44.5,-5.600000000000001,,,,,
Solomon Islands,1957-01-01,45.3,44.5,0.7999999999999972,,,,,
South Africa,1957-01-01,50.4,44.5,5.899999999999999,,,,,
Tajikistan,1957-01-01,52.6,44.5,8.100000000000001,,,,,
Tuvalu,1957-01-01,43.3,44.5,-1.2000000000000028,,,,,
Zimbabwe,1957-01-01,52.1,44.5,7.600000000000001,,,,,
Algeria,1958-01-01,40.4,45.0,-4.600000000000001,,,,,
Bangladesh,1958-01-01,43.9,45.0,-1.1000000000000014,,,,,
Bolivia,1958-01-01,42.6,45.0,-2.3999999999999986,,,,,
Botswana,1958-01-01,49.3,45.0,4.299999999999997,,,,,
Congo,1958-01-01,46.3,45.0,1.2999999999999972,,,,,
Egypt,1958-01-01,43.8,45.0,-1.2000000000000028,,,,,
El Salvador,1958-01-01,46.8,45.0,1.7999999999999972,,,,,
Gabon,1958-01-01,45.3,45.0,0.29999999999999716,,,,,
Ghana,1958-01-01,46.5,45.0,1.5,,,,,
Guatemala,1958-01-01,44.1,45.0,-0.8999999999999986,,,,,
Honduras,1958-01-01,46.8,45.0,1.7999999999999972,,,,,
India,1958-01-01,44.4,45.0,-0.6000000000000014,,,,,
Indonesia,1958-01-01,45.0,45.0,0.0,,,,,
Iran,1958-01-01,42.8,45.0,-2.200000000000003,,,,,
Iraq,1958-01-01,50.4,45.0,5.399999999999999,,,,,
Kenya,1958-01-01,46.9,45.0,1.8999999999999986,,,,,
Kiribati,1958-01-01,47.0,45.0,2.0,,,,,
Libya,1958-01-01,37.3,45.0,-7.700000000000003,,,,,
Maldives,1958-01-01,37.7,45.0,-7.299999999999997,,,,,
Marshall Islands,1958-01-01,53.0,45.0,8.0,,,,,
Mauritania,1958-01-01,43.2,45.0,-1.7999999999999972,,,,,
Mongolia,1958-01-01,43.0,45.0,-2.0,,,,,
Morocco,1958-01-01,42.3,45.0,-2.700000000000003,,,,,
Myanmar,1958-01-01,42.8,45.0,-2.200000000000003,,,,,
Namibia,1958-01-01,46.3,45.0,1.2999999999999972,,,,,
Nauru,1958-01-01,58.3,45.0,13.299999999999997,,,,,
Nicaragua,1958-01-01,45.3,45.0,0.29999999999999716,,,,,
Oman,1958-01-01,33.5,45.0,-11.5,,,,,
Pakistan,1958-01-01,43.2,45.0,-1.7999999999999972,,,,,
Palau,1958-01-01,53.7,45.0,8.700000000000003,,,,,
Papua New Guinea,1958-01-01,44.5,45.0,-0.5,,,,,
Sao Tome and Principe,1958-01-01,40.0,45.0,-5.0,,,,,
Solomon Islands,1958-01-01,46.1,45.0,1.1000000000000014,,,,,
South Africa,1958-01-01,51.3,45.0,6.299999999999997,,,,,
Tajikistan,1958-01-01,52.9,45.0,7.899999999999999,,,,,
Tuvalu,1958-01-01,44.3,45.0,-0.7000000000000028,,,,,
Zimbabwe,1958-01-01,52.4,45.0,7.399999999999999,,,,,
Algeria,1959-01-01,40.5,45.8,-5.299999999999997,,,,,
Bangladesh,1959-01-01,44.6,45.8,-1.1999999999999957,,,,,
Bolivia,1959-01-01,42.9,45.8,-2.8999999999999986,,,,,
Botswana,1959-01-01,49.8,45.8,4.0,,,,,
Congo,1959-01-01,47.1,45.8,1.3000000000000043,,,,,
Egypt,1959-01-01,44.6,45.8,-1.1999999999999957,,,,,
El Salvador,1959-01-01,47.4,45.8,1.6000000000000014,,,,,
Gabon,1959-01-01,45.9,45.8,0.10000000000000142,,,,,
Ghana,1959-01-01,46.9,45.8,1.1000000000000014,,,,,
Guatemala,1959-01-01,45.0,45.8,-0.7999999999999972,,,,,
Honduras,1959-01-01,47.5,45.8,1.7000000000000028,,,,,
India,1959-01-01,44.9,45.8,-0.8999999999999986,,,,,
Indonesia,1959-01-01,45.9,45.8,0.10000000000000142,,,,,
Iran,1959-01-01,43.4,45.8,-2.3999999999999986,,,,,
Iraq,1959-01-01,51.0,45.8,5.200000000000003,,,,,
Kenya,1959-01-01,47.8,45.8,2.0,,,,,
Kiribati,1959-01-01,47.4,45.8,1.6000000000000014,,,,,
Libya,1959-01-01,38.7,45.8,-7.099999999999994,,,,,
Maldives,1959-01-01,38.1,45.8,-7.699999999999996,,,,,
Marshall Islands,1959-01-01,53.2,45.8,7.400000000000006,,,,,
Mauritania,1959-01-01,43.9,45.8,-1.8999999999999986,,,,,
Mongolia,1959-01-01,44.0,45.8,-1.7999999999999972,,,,,
Morocco,1959-01-01,42.8,45.8,-3.0,,,,,
Myanmar,1959-01-01,43.3,45.8,-2.5,,,,,
Namibia,1959-01-01,46.9,45.8,1.1000000000000014,,,,,
Nauru,1959-01-01,58.5,45.8,12.700000000000003,,,,,
Nicaragua,1959-01-01,45.8,45.8,0.0,,,,,
Oman,1959-01-01,34.1,45.8,-11.699999999999996,,,,,
Pakistan,1959-01-01,44.1,45.8,-1.6999999999999957,,,,,
Palau,1959-01-01,53.8,45.8,8.0,,,,,
Papua New Guinea,1959-01-01,45.1,45.8,-0.6999999999999957,,,,,
Sao Tome and Principe,1959-01-01,41.6,45.8,-4.199999999999996,,,,,
Solomon Islands,1959-01-01,46.9,45.8,1.1000000000000014,,,,,
South Africa,1959-01-01,52.1,45.8,6.300000000000004,,,,,
Tajikistan,1959-01-01,53.3,45.8,7.5,,,,,
Tuvalu,1959-01-01,45.4,45.8,-0.3999999999999986,,,,,
Zimbabwe,1959-01-01,52.8,45.8,7.0,,,,,
Algeria,1960-01-01,40.5,46.4,-5.899999999999999,,,,,
Bangladesh,1960-01-01,44.7,46.4,-1.6999999999999957,,,,,
Bolivia,1960-01-01,43.1,46.4,-3.299999999999997,,,,,
Botswana,1960-01-01,50.4,46.4,4.0,,,,,
Congo,1960-01-01,48.0,46.4,1.6000000000000014,,,,,
Egypt,1960-01-01,45.4,46.4,-1.0,,,,,
El Salvador,1960-01-01,48.1,46.4,1.7000000000000028,,,,,
Gabon,1960-01-01,46.6,46.4,0.20000000000000284,,,,,
Ghana,1960-01-01,47.1,46.4,0.7000000000000028,,,,,
Guatemala,1960-01-01,45.8,46.4,-0.6000000000000014,,,,,
Honduras,1960-01-01,48.3,46.4,1.8999999999999986,,,,,
